"Group","kit","storage","stool_id"
"pm","PowerMag","standard","control"
"pm_ext","PowerMag","standard","control"
"pm_f","PowerMag","Frozen","s10"
"pm_f_21","PowerMag","Frozen","s11"
"pm_f_22","PowerMag","Frozen","s12"
"pm_f_23","PowerMag","Frozen","s13"
"pm_f_24","PowerMag","Frozen","s14"
"pm_f_25","PowerMag","Frozen","s15"
"pm_f_26","PowerMag","Frozen","s16"
"pm_f_27","PowerMag","Frozen","s17"
"pm_f_28","PowerMag","Frozen","s18"
"pm_f_29","PowerMag","Frozen","s19"
"pm_f_30","PowerMag","Frozen","s1"
"pm_f_31","PowerMag","Frozen","s20"
"pm_f_32","PowerMag","Frozen","s21"
"pm_f_33","PowerMag","Frozen","s22"
"pm_f_34","PowerMag","Frozen","s23"
"pm_f_35","PowerMag","Frozen","s24"
"pm_f_36","PowerMag","Frozen","s25"
"pm_f_37","PowerMag","Frozen","s26"
"pm_f_38","PowerMag","Frozen","s27"
"pm_f_39","PowerMag","Frozen","s28"
"pm_f_40","PowerMag","Frozen","s29"
"pm_f_41","PowerMag","Frozen","s2"
"pm_f_42","PowerMag","Frozen","s30"
"pm_f_43","PowerMag","Frozen","s3"
"pm_f_44","PowerMag","Frozen","s4"
"pm_f_45","PowerMag","Frozen","s5"
"pm_f_46","PowerMag","Frozen","s6"
"pm_f_47","PowerMag","Frozen","s7"
"pm_f_48","PowerMag","Frozen","s8"
"pm_f_49","PowerMag","Frozen","s9"
"pm_og","PowerMag","Omnigene_Genotek","s10"
"pm_og_51","PowerMag","Omnigene_Genotek","s11"
"pm_og_52","PowerMag","Omnigene_Genotek","s12"
"pm_og_53","PowerMag","Omnigene_Genotek","s13"
"pm_og_54","PowerMag","Omnigene_Genotek","s14"
"pm_og_55","PowerMag","Omnigene_Genotek","s15"
"pm_og_56","PowerMag","Omnigene_Genotek","s16"
"pm_og_57","PowerMag","Omnigene_Genotek","s17"
"pm_og_58","PowerMag","Omnigene_Genotek","s18"
"pm_og_59","PowerMag","Omnigene_Genotek","s19"
"pm_og_60","PowerMag","Omnigene_Genotek","s1"
"pm_og_61","PowerMag","Omnigene_Genotek","s20"
"pm_og_62","PowerMag","Omnigene_Genotek","s21"
"pm_og_63","PowerMag","Omnigene_Genotek","s22"
"pm_og_64","PowerMag","Omnigene_Genotek","s23"
"pm_og_65","PowerMag","Omnigene_Genotek","s24"
"pm_og_66","PowerMag","Omnigene_Genotek","s25"
"pm_og_67","PowerMag","Omnigene_Genotek","s26"
